,tweet,Label
0,"Wacana Jokowi Jadi Wapres Sampai Disorot Media Asing, Singgung Nama Soeharto Sampai Megawati  https://t.co/2q5bfAoADX",kontra
1,Megawati Soekarnoputri bicara pentingnya kesetaraan dalam Forum for Peace and Prosperity. Dia mengajak semua delegasi negara menyampaikan ide tanpa basa-basi.  https://t.co/vRbaMHK5RR,pro
2,"@pengarang_sajak Kan PDIP juga feodal, ""tunggu keputusan ibu""  Ini organisasi politik apa anak cucu Megawati ya",kontra
3,Megawati: Modernisasi Jangan Lupakan Pentingnya Pelihara Lingkungan Hidup  https://t.co/VgG1ZnvXEl,pro
4,"Kalau Pak @jokowi jadi wakil Presiden, siapa yang paling cocok dan paling pasti mempunyai kemungkinan untuk diusung @PDI_Perjuangan ?  Ada @ganjarpranowo dan @puanmaharani_ri terserah Bu Megawati untuk memutuskan.",kontra
5,"@Tan_Mar3M @DoankWarto Namanya aja Bencong lompat pager. Hina dulu baru kabur.. urusan pribadi mau poligami, kasian Bapaknya Ibu Megawati..",kontra
6,"@AkbarinAmin @sosmedkeras Sulit dimengerti, semoga kawanmu Ferdy Sambo, Calon Istrimu jeje, guru ngaji mu Samsudin jadab, Tabunganmu disimpan Yusuf Mansur, mertuamu Megawati, rumahmu di jaga pemuda Pancasila, dan satu lagi. Semoga Rendang mu lengkuas semua.",kontra
7,"*Megawati Tanam Pohon di Jeju, Ada Makna Hubungan RI-Korea* #PDIPerjuangan #PDIPerjuanganJabar #SolidBergerak  Selengkapnya:  https://t.co/slekOLtzR4",pro
8,*Megawati Sampaikan Spirit Pancasila di Jeju Forum Korsel* #PDIPerjuangan #PDIPerjuanganJabar #SolidBergerak  Selengkapnya:  https://t.co/EawYlt3phs,pro
9,"Terkait penolakan kenaikan harga BBM, itu sama halnya dengan upaya membela orang-orang kaya, sebab pengguna bahan bakar jenis pertalite umumnya didominasi oleh orang mampu,” BansosUntuk WongCilik #KendaliInflasiLewatSubsidi   https://t.co/Q32XnJxRmD",kontra
10,"@Johnytruee @Khojan7 @yo2thok Indonesia kalo deket sama Rusia yg untung ya Megawati, PDIP, dan Cina. Lo selama ini cuma dimanfaatin mereka doang. Sadar gak? 🤣👍",kontra
11,@iFUSHlGURO @Askrlfess Megawati,netral
12,@Afat3K Kok ga ada Megawati yaaaah,netral
13,Megawati Sukarnoputri is a centrist,kontra
14,Saya yakin dgn kejadian ini bu Megawati gak bakal usung ganjar jd capres pdip,pro
15,"@AkhmadRoja @MuhniiArRazzaq Lah, apa-apa dikaitkan sama politik, Prabowo aja udah merapat ke Megawati, segitu mudahnya buat digiring ya bang, masalah Bjorka harusnya yang disorot bagaimana lemahnya sistem keamanan situs-situs pemerintah dan kinerja Kominfo. Malah bahas politik, politik mah kotor",kontra
16,@detikcom Gak masuk akal pdip itu pemenang suara terbanyak dan sedang berkuasa 😁gimana mungkin bukan megawati main dijadikan seperti itu wahhh mengada ngada ini cak iminnn🤣🤣🤣🤣,kontra
17,Ketua Umum PDIP Megawati Soekarnoputri mendapat jamuan makan malam bersama delegasi sejumlah negara yang bakal menghadiri Forum for Peace and Prosperity.  https://t.co/x7kpeJrmgW,pro
18,Ketum PDIP Megawati Soekarnoputri bicara terkait modernisasi lingkungan saat ini. Dia menyebut modernisasi itu membuat setiap orang seolah lupa pada alam.  https://t.co/UvOOCQbvat,pro
19,@CenterNFT #SolanaNFT,netral
20,"Megawati: Teknologi Hanya Alat Bantu, Tetapi Alam Ini Pemberian Allah SWT  https://t.co/IDOoF6mbdV",pro
21,"Adu domba pimpinan TNI tlh memantik api jiwa korsa prajurit jgn anggap remeh jk @PDI_Perjuangan tdk merecall Effendi Simbolon, MKD @DPR_RI tdk menyidang anggota dewan yg arogan &amp; sok pahlawan krn merasa senior, @puanmaharani_ri Megawati diam saja, Tunggu Pemilu 2024🔥😡  https://t.co/4REmrbMdxL",kontra
22,@Afat3K Megawati  https://t.co/krRW1iUXba,kontra
23,Megawati: Modernisasi Jangan Lupakan Pentingnya Pelihara Lingkungan Hidup   #Sindonews #BukanBeritaBiasa . https://t.co/lIoYepGPdG,pro
24,"Didampingi Olly, Megawati Ajak Seluruh Umat di Dunia Mencintai Lingkungan  https://t.co/edgudriqkv",pro
25,"Didampingi Olly, Megawati Ajak Seluruh Umat di Dunia Mencintai Lingkungan  https://t.co/9Mzn9C96hB",pro
26,Megawati Ajak Delegasi Negara di Jeju Forum Sampaikan Ide Tanpa Basa-basi  https://t.co/qKj6X5E0k8,pro
27,"Megawati: Teknologi Hanya Alat Bantu, Tetapi Alam Ini Pemberian Allah SWT  https://t.co/vRPtK3ljSq",pro
28,"Megawati menilai modernisasi di segala bidang boleh saja dilakukan, tetapi jangan sampai melupakan pentingnya memelihara lingkungan hidup. #Megawati  https://t.co/vL6Hrm4Gjg",pro
29,"@biiieelaa Gapapa...Tuhan memang satu, Megawati yang ketum partai",kontra
30,Megawati Ajak Delegasi Negara di Jeju Forum Sampaikan Ide Tanpa Basa-basi  https://t.co/f1IWH3XvHg,pro
31,@xmataelangx Lebih baik sangek sama diri sendiri daripada sama megawati🙏🏻🗿  Kalau sama puan boleh dimaklumi😅☝️,kontra
32,"Wakati @JMakamba na kikundi chake wakiendelea na mgao wa UMEME, Jana Zambia ilianza kusafirisha 80MW za umeme nchini Namibia. Megawati 100 nyingine inatazamiwa kusafirishwa kwenda Zimbabwe kwa miaka 5 kwa gharama ya $6.3 Milioni. @tanescoyetutz mnaelewa Somo?  https://t.co/3afufGJNVO",netral
33,Megawati Soekarnoputri bicara pentingnya kesetaraan dalam Forum for Peace and Prosperity. Dia mengajak semua delegasi negara menyampaikan ide tanpa basa-basi.  https://t.co/lWeJfZcbXt,pro
34,@LeaderKung  Kau di pecat jadi anjeng ... Yang berPangkat Titel  Kalian indonesia.. Dari..  Yunus alh pak  king subali...   Kau Tanya peresiden jokowi dodo. Megawati soerkarno putri. Sebarkan......  Dunia....   Yasin.,kontra
35,Megawati dan Ban Ki Moon Hadiri Welcoming Dinner Jeju Peace Forum 2022  https://t.co/HyFOUrJUYp,pro
36,Megawati dan Ban Ki Moon Hadiri Welcoming Dinner Jeju Peace Forum 2022  https://t.co/CiIkStQpyI,pro
37,"Wakati JANUARY MAKAMBA na kikundi chake wakiendelea na mgao wa UMEME, Jana Zambia ilianza kusafirisha 80MW za umeme nchini Namibia. Megawati 100 nyingine inatazamiwa kusafirishwa kwenda Zimbabwe kwa miaka 5 kwa gharama ya $6.3 Milioni. @tanescoyetutz mnaelewa Somo?  https://t.co/MEymU1pR6F",netral
38,@LeaderKung   Kontol kau garuda.....  indonesia.... Soerkarno..... Kontol Pepek Mamak Megawati....  Jokowi peresiden kontol Kau  Kau anjeng  Dari m. yunus  Bambang subali.  Desa sialang peresiden jokowi... Kontol.....  Kau negara mu indonesia..... .,kontra
39,Megawati Suarakan Perdamaian di Jeju Peace Forum 2022  https://t.co/Zxm5cp3CEB,pro
40,Megawati: Modernisasi Jangan Lupakan Pentingnya Lingkungan  https://t.co/T56nhrVxik,pro
41,Hacker Bjorka Tawarkan Siapa Selanjutnya? Nitizen Kompak Sebut Nama Megawati  #Bjorka #bjorkanesian #bjorkaism #bjorkaspirit  https://t.co/4rAFRjaznE,kontra
42,"Megawati Soekarnoputri didampingi Olly Dondokambey tanam bibit pohon Magnolia di wilayah Seogwipo, Provinsi Jeju, Korea Selatan.  https://t.co/4lZjbghqgq",pro
43,@ASamroji @NatizenRi ANIES GATOT NURMANTYO ATAU ANIES AHY GANJAR HARUN MASIKU PUAN DENGAN JOKOWI PRABOWO MEGAWATI,pro
44,@Chris_Warouw Emg ad ap sih kok q ke tgl an beritanya om... Wkwk karna lg sibuk kerja 😂,netral
45,"Megawati Soekarnoputri Kunker ke Jeju, Korea Selatan, bawa misi Presiden Jokowi, salah satunya mewujudkan kedaulatan pangan sebagai bagian dari visi BRIN.  https://t.co/eH5gpJBUU6",pro
46,@PerelloLaurent @JustMoneyIO @martensari @Trisia_Megawati @JoniAitang,netral
47,Megawati Soekarnoputri saksikan penandatanganan MoU antara BRIN-KKP Teken MoU dengan Jeju National University.  https://t.co/aRPOnrYW0Z,pro
48,"*Megawati Tanam Pohon di Jeju, Ada Makna Hubungan RI-Korea*  #PDIPerjuangan #PDIPerjuanganJabar #SolidBergerak  Selengkapnya:  https://t.co/vH4yhyPLB9",pro
49,"@luttttt12_n @jayapuraupdate @akbgio @ratiiih_ Adiknya Megawati, om nya si Puan",kontra
50,"tokoh2 penting sperti --&gt; SBY, FA, Budiono, Megawati, DLL juga kosong^^ lets Book, make the account, and get Verif^^",kontra
51,"Megawati Tanam Pohon di Jeju, Ada Makna Hubungan RI-Korea  #PDIPerjuangan #PDIPerjuanganJabar #SolidBergerak  Selengkapnya:  https://t.co/nU6tMLBQQg",pro
52,Ketua Umum PDI Perjuangan Megawati Soekarnoputri memiliki hubungan dekat dengan Korea Selatan (Korsel) dan Korea Utara (Korut). Kedua negara itu bagi Megawati ibarat keluarga.  #megawatisoekarnoputri #korea #pdiperjuangan #gesuriid  https://t.co/tATyC7IbyD,pro
53,"Megawati Tanam Pohon di Jeju, Ada Makna Hubungan RI-Korea  https://t.co/mCKR7REjzV #BayernBarca",pro
54,"setelah muhammad said fikriansyah ditangkap, bjorka ngespill data megawati",kontra
55,Megawati: Jangan Diskriminasi dalam Pendirian Rumah Ibadah  Selengkapnya :  https://t.co/YOFCSjF4Ml  #PDIPerjuangn #PDIPerjuanganJabar #SolidBergerak #JabarBangkit2024,pro
56,Megawati: Modernisasi Jangan Lupakan Pentingnya Pelihara Lingkungan Hidup  https://t.co/hxJblkaIL5,pro
57,@F4dhoLi Muhaimin Iskandar is Gus Dur party (PKB) thief ordered by Megawati Vice President.,kontra
58,"@penidda @brin_watch @brin_indonesia @msaid_didu @malakmalakmal @karniilyas @NajwaShihab @dipoalam49 @AgusYudhoyono Ente kadang kadang ente, masak nggak tau kalau ketua dewan pengarah tuh dapat gelar Prof H.C dengan paper terbaik tentang kepemimpinan ibu megawati?  https://t.co/IB5benJehH",kontra
59,"@JokoLipService @RamliRizal Lah kadrun dari taon 2014 ngomongnya PKI mulu. Dari Megawati, Jokowi, PDIP dituduh PKI. Lah kl mereka PKI trus Soeharto wkt presiden ngapain bisa kebobolan gitu. Nih gw kasih liat dokumen bokap gw di era orba. Megawati pastinya jg dibeginiin saat jd anggota DPR 1987-1993  https://t.co/Ll6VIWyMTD",kontra
60,Megawati dan Ban Ki Moon Hadiri Welcoming Dinner Jeju Peace Forum 2022   #Sindonews #BukanBeritaBiasa . https://t.co/zHSvuk0Csa,pro
61,@iwanfals Presidential threshold 20%. mau koalisi dengan siapa utk melawan megawati ?,kontra
62,Atau Megawati,netral
63,"Ajak Dunia Cintai Lingkungan, Megawati Didampingi Gubernur Olly Tanam Pohon di Jeju Korsel  https://t.co/5cGKSZLhAy  https://t.co/f8m1RtkyAB",pro
64,Megawati Dorong Jeju Forum Beri Pemikiran Terbaik Bagi Perdamaian  https://t.co/Kxhm6SOlTT,pro
65,"Sejalan Dengan Presiden Jokowi Megawati Soekarnoputri Dorong Kerja Sama Riset Untuk Kedaulatan Pangan Indonesia  Megawati Soekarnoputri Saksikan Penandatangan MoU antara BRIN, KKP dan Jeju National University untuk Kedaulatan Pangan Indonesia  #PDIPerjuangan #SolidBergerak  https://t.co/XZ517aejKh",pro
66,@Bjorkanism9 Megawati aja,netral
67,Megawati: Jangan Diskriminasi dalam Pendirian Rumah Ibadah  #PDIPerjuangan  #PDIPerjuanganJabar #SolidBergerak #PDIPerjuanganKotaBandung    https://t.co/d8OkYd33Eo,pro
68,"Presiden Kelima RI Prof.Dr.(HC) Megawati Soekarnoputri mendorong seluruh umat dunia mencintai lingkungannya dengan menjaga tumbuhan dan dunia. Ketika lingkungan hancur, yang ada adalah kepunahan.  #PDIPerjuangan #PDIPerjuanganJabar #SolidBergerak   https://t.co/emQiYYQxBW",pro
69,"@detikcom Pak  Efendi Simbolon itu merasa diri paling tahu dan paling pintar, maka dia jadi arogan, dia mendikte TNI seolah ada dibawah dia, Ibu Megawati harus menarik dia dari DPR.",kontra
70,"Megawati Tanam Pohon di Jeju, Ada Makna Hubungan RI-Korea #PDIPerjuangan  #PDIPerjuanganJabar #SolidBergerak #PDIPerjuanganKotaBandung   https://t.co/bRiiHvnE4A",pro
71,Hacker Bjorka Tawarkan Siapa Selanjutnya? Nitizen Kompak Sebut Nama Megawati  *** Trending : Komentator #TimnasDay #GanjaristBiadab Cahya Supriadi Malang Raya Kakang #Bjorka Becanda Mabuk Gigi  https://t.co/4rAFRjaznE,kontra
72,"Kenapa ganggu? Saya kurang tahu maksud beliau. Tapi Katanya negara sampai harus menjual aset pada pemerintshan Megawati. Logikanya, kalau harus jual aset berarti butuh dana cair dong. Pertanyaannya, dana cair untuk apa? Mungkin untuk bayar utang BLBI tahun '98.",kontra
73,"Presiden ke-5 RI Megawati Soekarnoputri mengatakan modernisasi di segala bidang boleh saja dilakukan, namun jangan sampai melupakan pentingnya pemeliharaan lingkungan hid ...  https://t.co/4bWgiCRuup #timesindonesia #ketahananinformasi #indonesiabangkit",pro
74,Jokowi bukan asli pribumi jokowi tiongkok dan jelas dia pki mau aja jadi boneka megawati sementara cukong tertawa makan babi minum bir pesta semetara mereka menjadi kacung,kontra
75,"Jokowi sudah resmi dicalonkan PDI Perjuangan utk jadi Presiden, telah diputuskan oleh Megawati",kontra
76,"@sahfiann Makanya, kalo ga pasti isinya meme puan,megawati,jokowi yg di edit edit wkwk apa untungnya ya",kontra
77,"CERDAS NIH!✌👌 Puan Bakal Temui Cak Imin Dalam Waktu Dekat, Said Abdullah: Bahas Pesan Megawati    https://t.co/6rTwaMHD6H   #SafariPolitikCapres   @puanmaharani_ri @cakimiNOW @ocehansaid @megainstitute",pro
78,@Nassah__313 @NFT2SeXy @HIGHSINCE1995 😊,netral
